布魔方产品型号	颜色-红	颜色-黄	颜色-蓝	颜色-绿	颜色-咖	颜色-黑白灰	风格-美式	风格-欧式	风格-中式	风格-现代	风格-混搭	工艺-提花	工艺-绣花	工艺-印花	工艺-素织物	工艺-其他	材质-棉麻	材质-雪尼尔	材质-涤丝经面	材质-羊毛混纺	材质-其他	应用-沙发	应用-窗帘	应用-墙布	应用-抱枕	应用-床品	应用-其他	价格-单幅	价格-宽幅	成分(%)	每平方克重(g/㎡±5%)	幅宽-单幅（±2cm）	幅宽-宽幅（±2cm）	花型尺寸-横向（cm）	花型尺寸-纵向（cm）	原产地	水洗标-可水洗	水洗标-不可机洗	水洗标-可加干洗剂干洗	水洗标-不可干洗	可滚筒烘干	不可滚筒烘干	水洗标-低温熨烫	水洗标-不可熨烫	水洗标-可漂白	水洗标-不可漂白	花型图-1600px*800px	花型图-800px*800px	质地图-1600px*800px	质地图-800px*800px	质地图-400px*200px	质地图-400px*400px	搭配面料1	搭配面料2	搭配面料3	搭配面料4	搭配面料5	搭配面料6	检测报告
FHJ0008-41	0	0	0	0	1	0	0	1	0	1	1	1	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	95%涤纶 46%粘胶    	307	146	292	0	0	中国	0	1	1	0	0	1	1	0	0	1	FHJ0008-41-D1	FHJ0008-41-D2	FHJ0008-41-Q1	FHJ0008-41-Q2	FHJ0008-41-Q3	FHJ0008-41-Q4	FHJ0025-30	FHJ0084-41	FHJ0082-50	FHJ0058-40	0	0	0
FHJ0009-40	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	100%涤纶	145	154	308	145	4.2	中国	0	1	1	0	0	1	1	0	0	1	FHJ0009-40-D1	FHJ0009-40-D2	FHJ0009-40-Q1	FHJ0009-40-Q2	FHJ0009-40-Q3	FHJ0009-40-Q4	FHJ0023-20	FHJ0010-20	FHJ0058-20	0	0	0	0
FHJ0009-10	0	1	0	0	1	0	0	1	1	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	100%涤纶	145	154	308	145	4.2	中国	0	1	1	0	0	1	1	0	0	1	FHJ0009-10-D1	FHJ0009-10-D2	FHJ0009-10-Q1	FHJ0009-10-Q2	FHJ0009-10-Q3	FHJ0009-10-Q4	FHJ0008-40	FHJ0053-10	FHJ0025-10	FHJ0058-10	0	0	0
FHJ0009-50	0	0	0	0	0	1	0	1	1	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	100%涤纶	145	154	308	145	4.2	中国	0	1	1	0	0	1	1	0	0	1	FHJ0009-50-D1	FHJ0009-50-D2	FHJ0009-50-Q1	FHJ0009-50-Q2	FHJ0009-50-Q3	FHJ0009-50-Q4	FHJ0023-20	FHJ0010-20	FHJ0058-20	0	0	0	0
FHJ0010-10	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	100%涤纶	462	139	278	35	53.5	中国	0	1	1	0	0	1	1	0	0	1	FHJ0010-10-D1	FHJ0010-10-D2	FHJ0010-10-Q1	FHJ0010-10-Q2	FHJ0010-10-Q3	FHJ0010-10-Q4	FHJ0058-41	FHJ0023-42	FHJ0028-21	0	0	0	0
FHJ0010-20	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	100%涤纶	462	139	278	35	53.5	中国	0	1	1	0	0	1	1	0	0	1	FHJ0010-20-D1	FHJ0010-20-D2	FHJ0010-20-Q1	FHJ0010-20-Q2	FHJ0010-20-Q3	FHJ0010-20-Q4	FHJ0009-50	FHJ0023-20	FHJ0058-20	0	0	0	0
FHJ0010-40	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	100%涤纶	462	139	278	35	53.5	中国	0	1	1	0	0	1	1	0	0	1	FHJ0010-40-D1	FHJ0010-40-D2	FHJ0010-40-Q1	FHJ0010-40-Q2	FHJ0010-40-Q3	FHJ0010-40-Q4	FHJ0008-41	FHJ0008-40	FHJ0058-42	FHJ0009-41	0	0	0
FHJ0011-20	0	0	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	100%涤纶	385	145	290	36.3	33.8	中国	0	1	1	0	0	1	1	0	0	1	FHJ0011-20-D1	FHJ0011-20-D2	FHJ0011-20-Q1	FHJ0011-20-Q2	FHJ0011-20-Q3	FHJ0011-20-Q4	FHJ0005-20	FHJ0001-20	FHJ0074-20	0	0	0	0
FHJ0011-50	0	0	0	0	0	1	1	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	100%涤纶	385	145	290	36.3	33.8	中国	0	1	1	0	0	1	1	0	0	1	FHJ0011-50-D1	FHJ0011-50-D2	FHJ0011-50-Q1	FHJ0011-50-Q2	FHJ0011-50-Q3	FHJ0011-50-Q4	FHJ0001-50	FHJ0059-46	FHJ0074-50	0	0	0	0
FHJ0012-01	1	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	0	79%涤纶 21%粘胶	480	139	278	69.5	65.6	中国	0	1	1	0	0	1	1	0	0	1	FHJ0012-01-D1	FHJ0012-01-D2	FHJ0012-01-Q1	FHJ0012-01-Q2	FHJ0012-01-Q3	FHJ0012-01-Q4	FHJ0007-04	FHJ0005-40	FHJ0019-02	0	0	0	0
FHJ0012-10	0	1	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	0	79%涤纶 21%粘胶	480	139	278	69.5	65.6	中国	0	1	1	0	0	1	1	0	0	1	FHJ0012-10-D1	FHJ0012-10-D2	FHJ0012-10-Q1	FHJ0012-10-Q2	FHJ0012-10-Q3	FHJ0012-10-Q4	FHJ0005-20	FHD0006-10	FHJ0019-43	0	0	0	0
FHJ0012-20	0	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	0	79%涤纶 21%粘胶	480	139	278	69.5	65.6	中国	0	1	1	0	0	1	1	0	0	1	FHJ0012-20-D1	FHJ0012-20-D2	FHJ0012-20-Q1	FHJ0012-20-Q2	FHJ0012-20-Q3	FHJ0012-20-Q4	FHJ0007-20	FHJ0005-20	FHD0006-31	0	0	0	0
FHJ0012-30	0	0	0	1	0	1	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	0	79%涤纶 21%粘胶	480	139	278	69.5	65.6	中国	0	1	1	0	0	1	1	0	0	1	FHJ0012-30-D1	FHJ0012-30-D2	FHJ0012-30-Q1	FHJ0012-30-Q2	FHJ0012-30-Q3	FHJ0012-30-Q4	FHD0001-40	FHD0006-31	FHJ0005-44	0	0	0	0
FHJ0012-40	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	0	79%涤纶 21%粘胶	480	139	278	69.5	65.6	中国	0	1	1	0	0	1	1	0	0	1	FHJ0012-40-D1	FHJ0012-40-D2	FHJ0012-40-Q1	FHJ0012-40-Q2	FHJ0012-40-Q3	FHJ0012-40-Q4	FHJ0005-10	FHD0001-41	FHJ0036-42	FHD0006-40	0	0	0
FHJ0012-50	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	0	79%涤纶 21%粘胶	480	139	278	69.5	65.6	中国	0	1	1	0	0	1	1	0	0	1	FHJ0012-50-D1	FHJ0012-50-D2	FHJ0012-50-Q1	FHJ0012-50-Q2	FHJ0012-50-Q3	FHJ0012-50-Q4	FHJ0015-31	FHJ0017-50	0	0	0	0	0
FHJ0013-01	1	1	1	1	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	77%涤纶 23%粘胶	481	146	292	73	64.4	中国	0	1	1	0	0	1	1	0	0	1	FHJ0013-01-D1	FHJ0013-01-D2	FHJ0013-01-Q1	FHJ0013-01-Q2	FHJ0013-01-Q3	FHJ0013-01-Q4	FHD0006-20	FHJ0059-02	FHJ0037-40	0	0	0	0
FHJ0013-30	0	1	0	1	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	77%涤纶 23%粘胶	481	146	292	73	64.4	中国	0	1	1	0	0	1	1	0	0	1	FHJ0013-30-D1	FHJ0013-30-D2	FHJ0013-30-Q1	FHJ0013-30-Q2	FHJ0013-30-Q3	FHJ0013-30-Q4	FHJ0015-31	FHJ0018-51	FHJ0017-42	0	0	0	0
FHJ0014-20	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	86%涤纶 12%粘胶 2%麻	369	142	284	71	60.5	中国	0	1	1	0	0	1	1	0	0	1	FHJ0014-20-D1	FHJ0014-20-D2	FHJ0014-20-Q1	FHJ0014-20-Q2	FHJ0014-20-Q3	FHJ0014-20-Q4	FHJ0074-20	FHJ0019-43	FHJ0075-50	0	0	0	0
FHJ0014-31	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	86%涤纶 12%粘胶 2%麻	369	142	284	71	60.5	中国	0	1	1	0	0	1	1	0	0	1	FHJ0014-31-D1	FHJ0014-31-D2	FHJ0014-31-Q1	FHJ0014-31-Q2	FHJ0014-31-Q3	FHJ0014-31-Q4	FHJ0014-50	FHJ0019-40	FHJ0063-30	FHJ0063-40	0	0	0
FHJ0014-40	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	86%涤纶 12%粘胶 2%麻	369	142	284	71	60.5	中国	0	1	1	0	0	1	1	0	0	1	FHJ0014-40-D1	FHJ0014-40-D2	FHJ0014-40-Q1	FHJ0014-40-Q2	FHJ0014-40-Q3	FHJ0014-40-Q4	FHJ0074-40	FHJ0063-01	FHJ0019-42	0	0	0	0
FHJ0014-50	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	86%涤纶 12%粘胶 2%麻	369	142	284	71	60.5	中国	0	1	1	0	0	1	1	0	0	1	FHJ0014-50-D1	FHJ0014-50-D2	FHJ0014-50-Q1	FHJ0014-50-Q2	FHJ0014-50-Q3	FHJ0014-50-Q4	FHJ0063-43	FHJ0019-31	FHJ0046-41	0	0	0	0
FHJ0015-02	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	62%涤纶 38%棉	420	143	286	35.5	32	中国	0	1	1	0	0	1	1	0	0	1	FHJ0015-02-D1	FHJ0015-02-D2	FHJ0015-02-Q1	FHJ0015-02-Q2	FHJ0015-02-Q3	FHJ0015-02-Q4	FHJ0005-40	FHD0006-10	FHJ0059-43	0	0	0	0
FHJ0015-10	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	62%涤纶 38%棉	420	143	286	35.5	32	中国	0	1	1	0	0	1	1	0	0	1	FHJ0015-10-D1	FHJ0015-10-D2	FHJ0015-10-Q1	FHJ0015-10-Q2	FHJ0015-10-Q3	FHJ0015-10-Q4	FHD0006-30	FHD0006-40	FHJ0039-43	0	0	0	0
FHJ0015-11	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	62%涤纶 38%棉	420	143	286	35.5	32	中国	0	1	1	0	0	1	1	0	0	1	FHJ0015-11-D1	FHJ0015-11-D2	FHJ0015-11-Q1	FHJ0015-11-Q2	FHJ0015-11-Q3	FHJ0015-11-Q4	FHJ0016-01	FHJ0017-50	0	0	0	0	0
FHJ0015-20	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	62%涤纶 38%棉	420	143	286	35.5	32	中国	0	1	1	0	0	1	1	0	0	1	FHJ0015-20-D1	FHJ0015-20-D2	FHJ0015-20-Q1	FHJ0015-20-Q2	FHJ0015-20-Q3	FHJ0015-20-Q4	FHD0006-10	FHD0006-30	FHD0002-40	FHJ0063-40	0	0	0
FHJ0015-31	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	62%涤纶 38%棉	420	143	286	35.5	32	中国	0	1	1	0	0	1	1	0	0	1	FHJ0015-31-D1	FHJ0015-31-D2	FHJ0015-31-Q1	FHJ0015-31-Q2	FHJ0015-31-Q3	FHJ0015-31-Q4	FHJ0013-30	FHJ0018-51	FHJ0017-42	0	0	0	0
FHJ0015-40	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	62%涤纶 38%棉	420	143	286	35.5	32	中国	0	1	1	0	0	1	1	0	0	1	FHJ0015-40-D1	FHJ0015-40-D2	FHJ0015-40-Q1	FHJ0015-40-Q2	FHJ0015-40-Q3	FHJ0015-40-Q4	FHJ0003-43	FHD0006-40	FHJ0005-30	FHJ0005-32	0	0	0
FHJ0015-42	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	62%涤纶 38%棉	420	143	286	35.5	32	中国	0	1	1	0	0	1	1	0	0	1	FHJ0015-42-D1	FHJ0015-42-D2	FHJ0015-42-Q1	FHJ0015-42-Q2	FHJ0015-42-Q3	FHJ0015-42-Q4	FHD0006-40	FHJ0005-03	FHJ0015-50	FHD0001-50	FHJ0005-01	0	0
FHJ0015-50	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	62%涤纶 38%棉	420	143	286	35.5	32	中国	0	1	1	0	0	1	1	0	0	1	FHJ0015-50-D1	FHJ0015-50-D2	FHJ0015-50-Q1	FHJ0015-50-Q2	FHJ0015-50-Q3	FHJ0015-50-Q4	FHJ0005-01	FHJ0015-42	FHD0006-40	FHJ0005-03	0	0	0
FHJ0016-01	1	1	0	1	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	78%涤纶 22%粘胶	440	144	288	72	65	中国	0	1	1	0	0	1	1	0	0	1	FHJ0016-01-D1	FHJ0016-01-D2	FHJ0016-01-Q1	FHJ0016-01-Q2	FHJ0016-01-Q3	FHJ0016-01-Q4	FHJ0018-41	FHJ0017-50	FHJ0015-11	0	0	0	0
FHJ0016-20	0	0	1	0	0	1	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	78%涤纶 22%粘胶	440	144	288	72	65	中国	0	1	1	0	0	1	1	0	0	1	FHJ0016-20-D1	FHJ0016-20-D2	FHJ0016-20-Q1	FHJ0016-20-Q2	FHJ0016-20-Q3	FHJ0016-20-Q4	FHJ0059-43	FHJ0003-20	FHD0006-30	0	0	0	0
FHJ0016-30	0	1	0	1	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	78%涤纶 22%粘胶	440	144	288	72	65	中国	0	1	1	0	0	1	1	0	0	1	FHJ0016-30-D1	FHJ0016-30-D2	FHJ0016-30-Q1	FHJ0016-30-Q2	FHJ0016-30-Q3	FHJ0016-30-Q4	FHJ0015-11	FHJ0017-42	FHJ0018-51	0	0	0	0
FHJ0016-40	0	1	0	0	1	1	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	78%涤纶 22%粘胶	440	144	288	72	65	中国	0	1	1	0	0	1	1	0	0	1	FHJ0016-40-D1	FHJ0016-40-D2	FHJ0016-40-Q1	FHJ0016-40-Q2	FHJ0016-40-Q3	FHJ0016-40-Q4	FHD0001-34	FHJ0007-30	FHJ0039-02	FHD0006-40	0	0	0
FHJ0017-01	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	7%涤纶 63%粘胶 30%棉	487	140	280	18	17.7	中国	0	1	1	0	0	1	1	0	0	1	FHJ0017-01-D1	FHJ0017-01-D2	FHJ0017-01-Q1	FHJ0017-01-Q2	FHJ0017-01-Q3	FHJ0017-01-Q4	FHJ0003-01	FHJ0017-50	FHJ0004-50	0	0	0	0
FHJ0017-42	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	7%涤纶 63%粘胶 30%棉	487	140	280	18	17.7	中国	0	1	1	0	0	1	1	0	0	1	FHJ0017-42-D1	FHJ0017-42-D2	FHJ0017-42-Q1	FHJ0017-42-Q2	FHJ0017-42-Q3	FHJ0017-42-Q4	FHJ0016-30	FHJ0015-11	FHJ0018-51	0	0	0	0
FHJ0017-30	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	7%涤纶 63%粘胶 30%棉	487	140	280	18	17.7	中国	0	1	1	0	0	1	1	0	0	1	FHJ0017-30-D1	FHJ0017-30-D2	FHJ0017-30-Q1	FHJ0017-30-Q2	FHJ0017-30-Q3	FHJ0017-30-Q4	FHD0006-40	FHD0006-10	FHD0001-01	FHJ0004-30	0	0	0
FHJ0017-50	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	7%涤纶 63%粘胶 30%棉	487	140	280	18	17.7	中国	0	1	1	0	0	1	1	0	0	1	FHJ0017-50-D1	FHJ0017-50-D2	FHJ0017-50-Q1	FHJ0017-50-Q2	FHJ0017-50-Q3	FHJ0017-50-Q4	FHJ0016-01	FHJ0015-11	0	0	0	0	0
FHJ0018-41	0	0	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	50%涤纶50%粘胶	457	144	288	72	40	中国	0	1	1	0	0	1	1	0	0	1	FHJ0018-41-D1	FHJ0018-41-D2	FHJ0018-41-Q1	FHJ0018-41-Q2	FHJ0018-41-Q3	FHJ0018-41-Q4	FHJ0016-30	FHD0001-11	FHD0006-51	FHJ0005-40	0	0	0
FHJ0018-40	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	50%涤纶50%粘胶	457	144	288	72	40	中国	0	1	1	0	0	1	1	0	0	1	FHJ0018-40-D1	FHJ0018-40-D2	FHJ0018-40-Q1	FHJ0018-40-Q2	FHJ0018-40-Q3	FHJ0018-40-Q4	FHJ0006-40	FHD0001-11	FHJ0074-40	0	0	0	0
FHJ0018-50	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	50%涤纶50%粘胶	457	144	288	72	40	中国	0	1	1	0	0	1	1	0	0	1	FHJ0018-50-D1	FHJ0018-50-D2	FHJ0018-50-Q1	FHJ0018-50-Q2	FHJ0018-50-Q3	FHJ0018-50-Q4	FHJ0006-50	FHD0006-40	FHD0006-11	FHJ0036-50	0	0	0
FHJ0018-51	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	50%涤纶50%粘胶	457	144	288	72	40	中国	0	1	1	0	0	1	1	0	0	1	FHJ0018-51-D1	FHJ0018-51-D2	FHJ0018-51-Q1	FHJ0018-51-Q2	FHJ0018-51-Q3	FHJ0018-51-Q4	FHJ0017-42	FHJ0015-11	FHJ0016-30	0	0	0	0
FHD0002-10	0	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	100%涤纶	416	142	284	1.42	1.6	中国	0	1	1	0	0	1	1	0	0	1	FHD0002-10-D1	FHD0002-10-D2	FHD0002-10-Q1	FHD0002-10-Q2	FHD0002-10-Q3	FHD0002-10-Q4	FHJ0039-03	FHD0006-53	FHJ0037-01	FHJ0076-01	0	0	0
FHD0002-20	0	0	1	0	0	1	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	100%涤纶	416	142	284	1.42	1.6	中国	0	1	1	0	0	1	1	0	0	1	FHD0002-20-D1	FHD0002-20-D2	FHD0002-20-Q1	FHD0002-20-Q2	FHD0002-20-Q3	FHD0002-20-Q4	FHJ0005-41	FHJ0004-21	FHJ0040-01	0	0	0	0
FHD0002-40	0	0	0	0	1	0	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	100%涤纶	416	142	284	1.42	1.6	中国	0	1	1	0	0	1	1	0	0	1	FHD0002-40-D1	FHD0002-40-D2	FHD0002-40-Q1	FHD0002-40-Q2	FHD0002-40-Q3	FHD0002-40-Q4	FHJ0015-20	FHD0006-10	FHD0006-30	FHJ0063-40	0	0	0
FHD0002-41	0	0	0	0	1	0	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	100%涤纶	416	142	284	1.42	1.6	中国	0	1	1	0	0	1	1	0	0	1	FHD0002-41-D1	FHD0002-41-D2	FHD0002-41-Q1	FHD0002-41-Q2	FHD0002-41-Q3	FHD0002-41-Q4	FHJ0005-42	FHJ0002-40	FHD0006-40	0	0	0	0
FHD0003-11	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	100%涤纶 	518	148	0	7.1	5.9	中国	0	1	1	0	0	1	1	0	0	1	FHD0003-11-D1	FHD0003-11-D2	FHD0003-11-Q1	FHD0003-11-Q2	FHD0003-11-Q3	FHD0003-11-Q4	FHJ0039-44	FHJ0044-10	FHJ0039-40	FHD0006-30	0	0	0
FHD0003-50	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	100%涤纶 	518	148	0	7.1	5.9	中国	0	1	1	0	0	1	1	0	0	1	FHD0003-50-D1	FHD0003-50-D2	FHD0003-50-Q1	FHD0003-50-Q2	FHD0003-50-Q3	FHD0003-50-Q4	FHJ0021-50	FHD0006-30	FHJ0037-50	FHJ0074-50	0	0	0
FHD0006-10	0	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	100%涤纶	499	142	0	0	0	中国	0	1	1	0	0	1	1	0	0	1	FHD0006-10-D1	FHD0006-10-D2	FHD0006-10-Q1	FHD0006-10-Q2	FHD0006-10-Q3	FHD0006-10-Q4	FHJ0041-50	FHD0001-11	FHJ0033-51	FHJ0048-50	FHD0003-50	0	0
FHD0006-11	0	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	100%涤纶	499	142	0	0	0	中国	0	1	1	0	0	1	1	0	0	1	FHD0006-11-D1	FHD0006-11-D2	FHD0006-11-Q1	FHD0006-11-Q2	FHD0006-11-Q3	FHD0006-11-Q4	FHJ0018-50	FHJ0006-50	FHD0006-40	FHJ0036-50	0	0	0
FHD0006-20	0	0	1	0	0	0	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	100%涤纶	499	142	0	0	0	中国	0	1	1	0	0	1	1	0	0	1	FHD0006-20-D1	FHD0006-20-D2	FHD0006-20-Q1	FHD0006-20-Q2	FHD0006-20-Q3	FHD0006-20-Q4	FHJ0013-01	FHJ0059-02	FHJ0037-40	0	0	0	0
FHD0006-30	0	0	0	1	0	0	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	100%涤纶	499	142	0	0	0	中国	0	1	1	0	0	1	1	0	0	1	FHD0006-30-D1	FHD0006-30-D2	FHD0006-30-Q1	FHD0006-30-Q2	FHD0006-30-Q3	FHD0006-30-Q4	FHD0006-51	FHD0001-30	FHJ0044-02	0	0	0	0
FHD0006-31	0	0	0	1	0	0	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	100%涤纶	499	142	0	0	0	中国	0	1	1	0	0	1	1	0	0	1	FHD0006-31-D1	FHD0006-31-D2	FHD0006-31-Q1	FHD0006-31-Q2	FHD0006-31-Q3	FHD0006-31-Q4	FHJ0007-02	FHD0001-33	FHD0006-40	FHD0001-03	0	0	0
FHD0006-32	0	0	0	1	0	0	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	100%涤纶	499	142	0	0	0	中国	0	1	1	0	0	1	1	0	0	1	FHD0006-32-D1	FHD0006-32-D2	FHD0006-32-Q1	FHD0006-32-Q2	FHD0006-32-Q3	FHD0006-32-Q4	FHJ0002-20	FHJ0059-43	FHD0006-31	0	0	0	0
FHD0006-40	0	0	0	0	1	0	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	100%涤纶	499	142	0	0	0	中国	0	1	1	0	0	1	1	0	0	1	FHD0006-40-D1	FHD0006-40-D2	FHD0006-40-Q1	FHD0006-40-Q2	FHD0006-40-Q3	FHD0006-40-Q4	FHJ0015-42	FHJ0015-50	FHD0001-50	FHJ0005-01	0	0	0
FHD0006-43	0	0	0	0	1	0	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	100%涤纶	499	142	0	0	0	中国	0	1	1	0	0	1	1	0	0	1	FHD0006-43-D1	FHD0006-43-D2	FHD0006-43-Q1	FHD0006-43-Q2	FHD0006-43-Q3	FHD0006-43-Q4	FHD0006-40	FHJ0032-10	FHJ0077-10	FHJ0077-11	0	0	0
FHD0006-44	0	0	0	0	1	0	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	100%涤纶	499	142	0	0	0	中国	0	1	1	0	0	1	1	0	0	1	FHD0006-44-D1	FHD0006-44-D2	FHD0006-44-Q1	FHD0006-44-Q2	FHD0006-44-Q3	FHD0006-44-Q4	FHJ0007-10	FHJ0036-60	FHJ0039-45	0	0	0	0
FHD0006-51	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	100%涤纶	499	142	0	0	0	中国	0	1	1	0	0	1	1	0	0	1	FHD0006-51-D1	FHD0006-51-D2	FHD0006-51-Q1	FHD0006-51-Q2	FHD0006-51-Q3	FHD0006-51-Q4	FHJ0029-10	FHD0001-40	FHJ0033-41	FHJ0041-40	0	0	0
FHD0006-53	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	100%涤纶	499	142	0	0	0	中国	0	1	1	0	0	1	1	0	0	1	FHD0006-53-D1	FHD0006-53-D2	FHD0006-53-Q1	FHD0006-53-Q2	FHD0006-53-Q3	FHD0006-53-Q4	FHJ0039-03	FHD0002-10	FHJ0037-01	FHJ0076-01	0	0	0
FHJ0019-01	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	100%涤纶	366	144	288	0	0	中国	0	1	1	0	0	1	1	0	0	1	FHJ0019-01-D1	FHJ0019-01-D2	FHJ0019-01-Q1	FHJ0019-01-Q2	FHJ0019-01-Q3	FHJ0019-01-Q4	FHJ0063-01	FHJ0090-41	FHJ0034-41	0	0	0	0
FHJ0019-02	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	100%涤纶	366	144	288	0	0	中国	0	1	1	0	0	1	1	0	0	1	FHJ0019-02-D1	FHJ0019-02-D2	FHJ0019-02-Q1	FHJ0019-02-Q2	FHJ0019-02-Q3	FHJ0019-02-Q4	FHJ0012-01	FHJ0007-04	FHJ0005-40	0	0	0	0
